match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8698371604,1771585098,59,1,0.9,0.45,0.5,0.5,1.0,0.8889,1.0,0.5,0.5,0.5,0.0,0.5
8698428156,1771588680,59,0,0.2308,0.7,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.8
8698437169,1771588741,59,1,0.4,0.95,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.9091,1.0,0.7778
8698438568,1771588800,59,0,0.25,0.6923,0.5,0.3333,0.5,0.0,0.5,0.5,0.6667,0.0,0.0,0.5
8698436662,1771588975,59,0,0.5385,0.4211,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0
8698519674,1771593900,59,0,0.6842,0.4375,0.6667,0.5,0.6667,0.5,0.5,1.0,0.5,0.5,0.5,1.0
8698519769,1771593900,59,0,0.1667,0.4167,1.0,0.0,0.0,0.5,0.5,0.6667,0.5,1.0,0.6667,1.0
8698542436,1771593960,59,1,0.25,0.4,0.5,0.3333,0.3333,0.3333,0.0,1.0,0.0,0.5,1.0,1.0
8698568968,1771595222,59,0,0.75,0.55,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.75
8698613744,1771597560,59,0,0.3077,0.4,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5
8698630441,1771598101,59,0,0.1538,0.4615,0.5,0.0,0.5,0.0,0.0,0.5,0.75,0.5,0.5,1.0
8698660679,1771599477,59,0,0.6,0.6923,0.6667,0.5,0.3333,1.0,0.3333,0.75,1.0,0.3333,0.5,0.5
8698668899,1771599660,59,1,0.4706,0.65,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5
8698782516,1771604996,59,1,0.5,0.45,0.0,0.3333,0.0,1.0,0.6667,0.5,0.5,1.0,1.0,1.0
8698904895,1771609797,59,1,0.45,0.5333,0.5,0.5,0.0,0.5,0.5,0.0,0.6667,1.0,1.0,0.5
8698996024,1771615300,59,0,0.5,0.5,0.5,1.0,1.0,0.5,0.6,0.3333,1.0,1.0,0.0,0.3333
8699819713,1771669515,59,0,0.6,0.7143,0.5,1.0,1.0,0.5,0.4,1.0,0.0,0.5,0.5,0.5
8699897894,1771673460,59,0,0.55,0.7333,0.6,0.75,0.5,1.0,0.6667,0.5,1.0,1.0,1.0,0.5
8700062110,1771680778,59,0,0.7143,0.6,0.8,0.5,0.5,0.5,0.8333,0.75,0.5,0.8,0.0,1.0
8700166436,1771684498,59,0,0.6,0.6667,1.0,0.8,0.8333,0.5,0.5,0.6667,0.6,0.5,0.6667,0.6667
8700287136,1771689056,59,0,0.6875,0.55,0.6667,0.6667,0.6667,0.8333,0.7143,0.4,0.6667,0.7143,0.8333,1.0
8700405044,1771693740,59,1,0.9,0.75,1.0,0.6,0.6,1.0,1.0,0.625,1.0,1.0,0.75,1.0
8700519354,1771698120,59,0,0.7,0.9,0.5,0.6667,0.3333,0.75,0.3333,0.75,0.8889,0.8,1.0,1.0
8700643559,1771703520,59,0,0.5294,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6667,1.0,1.0
8700717009,1771707120,59,0,0.5,0.5263,0.5,1.0,0.5,0.5,0.4,1.0,0.5,0.75,1.0,1.0
8701415358,1771755934,59,1,0.5,0.6471,0.5,1.0,0.0,0.5,0.3333,0.0,0.5,1.0,0.75,1.0
8701495156,1771759799,59,0,0.6111,0.5,1.0,0.5714,0.6,0.6,1.0,0.5,0.5,0.6667,1.0,0.8
8701666212,1771766698,59,0,0.65,0.6,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.75,0.8571,1.0
8701817219,1771771916,59,1,0.65,0.6,1.0,0.5,0.7778,0.5,0.5,0.3333,0.6,0.5,0.75,0.0
8701978003,1771777800,59,0,0.4737,0.75,0.0,0.5,0.5,0.6667,0.5,0.5,0.75,0.5,1.0,1.0
8702081221,1771781880,59,1,0.7647,0.45,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0
8702232936,1771788304,59,1,0.9,0.55,1.0,0.6667,1.0,0.5,0.8571,1.0,0.0,0.0,0.6667,0.6667
8702331491,1771792920,59,1,0.9,0.55,1.0,0.7143,0.8333,1.0,1.0,0.5,1.0,1.0,1.0,1.0
