match_id,league_id,start_time,patch_version,radiant_hero_ids,dire_hero_ids,radiant_account_ids,dire_account_ids,radiant_win,early_gold_delta_15,early_xp_delta_15,radiant_core_execution_synergy,dire_core_execution_synergy,pressure_team,pressure_retention_std,radiant_pos1_gpm,radiant_pos2_gpm,dire_pos1_gpm,dire_pos2_gpm
8680514821,19290,1770411403,59,"[17, 70, 129, 101, 37]","[50, 15, 119, 29, 106]","[154715080, 97658618, 126212866, 241884166, 94155156]","[122817493, 320017600, 175311897, 383788462, 123023873]",0,-4429,-2252,0.7688428438305104,0.8964790344146379,,,589,477,850,638
8681252145,19290,1770465628,59,"[17, 72, 129, 119, 110]","[70, 79, 96, 123, 106]","[154715080, 97658618, 126212866, 241884166, 94155156]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,2762,5350,0.9474236836713789,0.937489231193356,dire,4972.3895865066725,547,494,723,610
8681257159,19290,1770465332,59,"[54, 64, 100, 99, 52]","[27, 19, 10, 155, 106]","[320017600, 122817493, 175311897, 383788462, 123023873]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,8642,8879,1.3598357541572903,1.5610405658769388,radiant,2970.9390958266226,786,678,575,475
8681270106,19290,1770465811,59,"[48, 126, 38, 34, 110]","[68, 13, 108, 27, 63]","[202464276, 1673586483, 143786911, 392385140, 329076390]","[1675898897, 223382342, 92487440, 1682179459, 96183976]",0,-918,3625,1.1772569644522206,1.308890318850311,,,893,512,858,733
8681348654,19290,1770469206,59,"[87, 54, 100, 98, 47]","[66, 19, 56, 108, 52]","[122817493, 320017600, 175311897, 383788462, 123023873]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,4252,1156,1.059600538794664,1.1008611387343166,radiant,1786.355608805568,872,615,537,558
8681350238,19290,1770469269,59,"[17, 102, 108, 19, 37]","[21, 110, 129, 119, 106]","[154715080, 97658618, 126212866, 241884166, 94155156]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,530,-1066,0.9171294523171198,1.1766779342383544,,,470,521,709,591
8681395986,19290,1770471083,59,"[72, 39, 65, 97, 131]","[87, 102, 15, 17, 27]","[202464276, 1673586483, 143786911, 392385140, 329076390]","[1675898897, 96183976, 92487440, 223382342, 1682179459]",0,-3033,-149,1.2667456285260106,1.1985505921082713,,,572,423,642,620
8681570464,19290,1770478185,59,"[8, 64, 49, 155, 88]","[13, 138, 43, 100, 110]","[418942836, 101356886, 140297552, 138880576, 152168157]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,-816,-24,0.6098598782187661,1.0238763811580958,,,832,694,603,509
8681574611,19290,1770478163,59,"[110, 114, 72, 88, 99]","[87, 138, 70, 155, 23]","[349310876, 72393079, 241519559, 115464954, 116249155]","[196400041, 219755398, 458287006, 117514269, 170809075]",0,244,-121,0.9324575702368396,1.0382244306858341,,,596,481,742,554
8681588293,19290,1770478464,59,"[8, 106, 90, 79, 108]","[15, 68, 129, 27, 73]","[202464276, 1673586483, 392385140, 248180032, 143786911]","[124801257, 320219866, 126842529, 256156323, 210053851]",0,-6081,-6036,0.8533668388477826,0.9867892375279459,dire,3144.5669548179976,576,428,775,872
8681675935,19290,1770481813,59,"[18, 110, 28, 64, 15]","[138, 106, 155, 100, 101]","[124801257, 320219866, 126842529, 256156323, 210053851]","[202464276, 1673586483, 143786911, 392385140, 248180032]",1,6777,6053,1.2884239400040853,1.2837014628486179,,,750,572,422,459
8681689018,19290,1770482342,59,"[64, 17, 21, 119, 155]","[68, 138, 28, 99, 29]","[349310876, 72393079, 241519559, 115464954, 116249155]","[196400041, 219755398, 170809075, 458287006, 117514269]",1,-1750,-4130,1.1481900452488687,1.1578494541422097,radiant,6073.801758371769,732,577,541,432
8681702184,19290,1770482881,59,"[39, 56, 129, 19, 64]","[46, 38, 99, 90, 27]","[154715080, 97658618, 126212866, 241884166, 94155156]","[418942836, 140297552, 138880576, 101356886, 152168157]",0,1826,-2847,1.0129788450543167,0.9015289661944171,,,632,480,887,734
8681786674,19290,1770486772,59,"[64, 17, 56, 100, 96]","[9, 138, 57, 108, 38]","[349310876, 72393079, 241519559, 115464954, 116249155]","[196400041, 219755398, 458287006, 117514269, 170809075]",1,1033,-2460,1.163865435703201,1.344630956199437,,,734,662,535,557
8681877202,19290,1770490581,59,"[37, 44, 155, 101, 39]","[64, 129, 123, 54, 52]","[1675898897, 96183976, 92487440, 1682179459, 223382342]","[122817493, 383788462, 175311897, 320017600, 123023873]",0,-896,1624,1.3762263821363068,1.0410730457447044,dire,3959.730680235715,622,561,779,687
